,bhk,area,region,price_in_cr
37151,2,1100,Seawoods,2.25
37168,2,871,Powai,1.99
37178,1,384,Vikhroli,0.7998000000000001
37180,1,389,Vikhroli,0.8104
37181,3,1818,Mahalaxmi,6.5
37182,3,1560,Bandra West,13.5
37184,2,689,Wadala,2.43
37185,3,1046,Wadala,3.87
37186,2,735,Wadala,2.73
37187,2,739,Wadala,2.9
37188,3,1063,Wadala,4.33
37189,3,1232,Wadala,4.48
37191,3,1965,Wadala,7.86
37192,4,2523,Wadala,10.09
37193,3,2042,Wadala,8.16
37194,3,1976,Wadala,7.9
37195,4,2116,Wadala,8.46
37196,3,2044,Wadala,8.17
37197,3,1620,Wadala,6.48
37198,3,1956,Wadala,7.82
37199,3,1954,Wadala,7.81
37200,2,689,Wadala,2.43
37201,4,2076,Wadala,8.3
37202,3,1046,Wadala,3.87
37203,4,2071,Wadala,8.28
37204,2,735,Wadala,2.73
37205,4,2070,Wadala,8.28
37206,2,739,Wadala,2.9
37207,3,1611,Wadala,6.44
37208,3,1063,Wadala,4.33
37209,4,2505,Wadala,10.02
37210,3,1232,Wadala,4.48
37211,3,2050,Wadala,8.2
37212,4,2102,Wadala,8.4
37213,2,850,Goregaon East,1.95
37225,4,2300,Malad West,5.75
37228,1,360,Mira Road East,0.72
37229,3,1150,Borivali East,3.0
37266,2,842,Andheri East,1.85
37268,2,1041,Andheri East,2.3
37270,1,550,Andheri West,1.1
37290,2,900,Borivali East,1.9
37300,1,600,Borivali East,1.2
37301,3,1028,Mulund West,2.56
37302,2,654,Mulund West,1.62
37303,3,946,Mulund West,2.33
37304,2,733,Mulund West,1.77
37305,3,934,Mulund West,2.3
37312,2,780,Kanjurmarg,2.02
37313,2,677,Kanjurmarg,1.57
37314,3,1099,Kanjurmarg,2.85
37315,2,707,Kanjurmarg,1.63
37316,2,681,Kanjurmarg,1.57
37319,2,615,Thane West,1.37
37336,2,705,Thane West,1.48
37339,2,618,Thane West,1.38
37342,2,624,Thane West,1.4
37343,3,1118,Mulund West,2.33
37356,1,464,Thane West,0.94
37361,2,689,Thane West,1.7
37363,2,694,Thane West,1.7
37365,2,689,Thane West,1.7
37366,3,1160,Mulund West,2.9
37367,3,1309,Mulund West,3.27
37368,3,1306,Mulund West,3.26
37369,2,797,Mulund West,1.91
37371,2,759,Mulund West,1.82
37372,2,835,Mulund West,2.0
37373,2,729,Mulund West,1.75
37387,3,1306,Mulund West,3.26
37388,2,1050,Goregaon West,2.35
37391,2,1011,Andheri East,2.34
37395,2,900,Borivali East,1.9
37400,3,1357,Sion,6.26
37401,5,3000,Lower Parel,16.0
37402,3,2150,Worli,13.0
37404,3,1120,Bandra Kurla Complex,3.65
37405,3,1400,Bandra Kurla Complex,3.15
37406,2,1100,Bandra Kurla Complex,2.85
37407,2,1070,Bandra Kurla Complex,2.5
37408,3,1300,Andheri West,4.3
37409,3,1300,Andheri West,4.3
37410,1,395,Kandivali East,0.8492000000000001
37412,1,382,Kandivali East,0.7906
37414,1,350,Borivali West,0.8299
37416,1,364,Borivali West,0.8599
37418,3,1106,Dadar West,5.83
37419,2,905,Dadar West,4.77
37420,3,1466,Dadar West,7.7
37426,2,1500,Prabhadevi,4.8
37427,4,5421,Bandra Kurla Complex,22.5
37428,4,6405,Bandra Kurla Complex,25.5
37429,4,5787,Bandra Kurla Complex,23.7
37430,4,3906,Prabhadevi,21.0
37434,2,1068,Marine Lines,4.8
37436,4,1500,Borivali East,3.42
37437,4,1448,Borivali East,3.28
37438,4,1436,Borivali East,3.25
37439,3,1262,Borivali East,2.79
37440,3,1253,Borivali East,2.73
37442,1,591,Ghatkopar East,1.53
37444,1,477,Ghatkopar East,1.24
37445,1,385,Ghatkopar East,1.0
37447,1,498,Ghatkopar East,1.29
37448,2,663,Ghatkopar East,1.72
37449,1,454,Ghatkopar East,1.18
37450,2,666,Ghatkopar East,1.73
37451,1,307,Ghatkopar East,0.7981999999999999
37452,1,454,Ghatkopar East,1.18
37453,2,665,Ghatkopar East,1.72
37454,1,466,Kanjurmarg,1.24
37455,2,723,Kanjurmarg,1.9
37456,2,678,Kanjurmarg,1.8
37457,1,466,Kanjurmarg,1.23
37458,2,723,Kanjurmarg,1.9
37459,2,682,Kanjurmarg,1.81
37460,2,678,Kanjurmarg,1.8
37461,1,466,Kanjurmarg,1.23
37462,2,682,Kanjurmarg,1.81
37466,2,622,Thane West,1.26
37470,5,2594,Santacruz West,17.1
37471,4,1730,Santacruz West,7.85
37472,4,1861,Santacruz West,8.57
37473,2,638,Wadala,2.7
37474,2,906,Wadala,3.26
37475,3,1321,Wadala,4.0
37476,1,513,Wadala,1.64
37477,4,1563,Malad West,4.89
37478,3,1082,Malad West,3.0
37479,2,740,Malad West,2.39
37480,3,1085,Malad West,3.39
37481,2,796,Malad West,4.45
37487,3,2103,Tardeo,7.8
37489,1,509,Andheri West,1.42
37490,3,1324,Andheri East,3.2
37492,3,1318,Andheri West,4.6
37493,2,1002,Andheri West,3.25
37497,3,1049,Powai,2.38
37502,3,1049,Powai,2.38
37507,4,3500,Andheri West,14.5
37508,4,2009,Matunga,5.99
37512,2,950,Andheri West,2.0
37523,2,752,Powai,2.4
37524,2,672,Powai,2.15
37525,2,670,Powai,2.14
37526,1,544,Powai,1.74
37528,3,1411,Powai,4.51
37529,2,752,Powai,2.4
37530,2,652,Powai,2.08
37531,2,758,Powai,2.42
37532,2,614,Powai,1.96
37533,3,1127,Powai,3.6
37534,2,651,Powai,2.08
37535,1,430,Powai,1.37
37536,3,1775,Parel,4.08
37537,3,2275,Parel,5.23
37538,3,2750,Parel,6.32
37539,3,2100,Parel,4.83
37541,3,1720,Parel,3.95
37543,3,2575,Parel,5.92
37546,4,1584,Dadar East,7.28
37547,4,1649,Dadar East,7.58
37548,1,435,Wadala,1.8
37549,2,673,Wadala,2.61
37551,3,1060,Wadala,4.35
37552,2,734,Wadala,2.85
37557,2,1110,Goregaon East,2.5
37564,4,1686,Thane West,3.6
37580,4,1210,Thane West,2.56
37585,3,1146,Mulund East,2.76
37586,3,977,Mulund East,2.35
37587,2,750,Mulund East,1.77
37588,2,810,Mulund East,1.97
37590,3,1840,Prabhadevi,5.91
37591,2,1500,Prabhadevi,4.8
37592,1,300,Andheri West,0.8
37593,4,1968,Wadala,5.28
37594,3,1509,Wadala,5.14
37595,2,624,Kandivali East,1.65
37623,2,619,Vikhroli,1.4
37624,2,629,Vikhroli,1.43
37627,3,1228,Thane West,2.73
37628,1,471,Thane West,1.15
37629,3,1433,Thane West,3.63
37636,2,869,Andheri East,2.43
37637,2,757,Andheri East,2.11
37639,3,1024,Andheri East,2.86
37640,2,762,Andheri East,2.13
37644,2,606,Kandivali East,1.68
37645,1,429,Kandivali East,1.12
37651,3,950,Mulund East,2.71
37652,2,700,Mulund East,2.0
37653,3,2345,other,11.4
37654,4,2863,Worli,9.3
37655,6,4509,Worli,14.0
37656,3,950,Bhandup West,2.0
37657,3,1790,Powai,6.35
37660,3,1445,Byculla,6.25
37661,2,1083,Byculla,4.25
37662,3,1622,Byculla,6.5
37663,2,870,Byculla,3.89
37664,4,2050,Mahalaxmi,12.5
37665,3,1490,Mahalaxmi,8.0
37666,3,1190,Powai,3.3
37667,2,850,Powai,2.3
37668,2,750,Powai,1.8
37669,1,583,Powai,1.32
37670,1,571,Powai,1.26
37671,1,560,Powai,1.18
37672,3,1205,Powai,3.56
37673,2,858,Powai,2.35
37674,3,1137,Andheri East,2.88
37675,2,883,Andheri East,1.8
37677,3,1282,Malad West,2.65
37678,2,940,Malad West,1.95
37682,2,600,Kandivali West,1.45
37686,1,381,Thane East,0.8101999999999999
37698,3,1700,Andheri East,4.0
37699,2,1249,Parel,3.69
37706,2,959,Goregaon West,2.45
37708,2,943,Andheri West,2.2
37712,1,550,Andheri West,1.65
37720,2,860,Jogeshwari East,1.84
37721,2,932,Jogeshwari East,2.04
37722,2,817,Jogeshwari East,1.72
37724,2,1156,Wadala,3.92
37726,2,980,Nahur East,2.12
37727,3,1250,Andheri West,3.6
37731,2,719,Airoli,2.2
37737,3,1072,Mulund West,2.46
37738,3,1126,Mulund West,2.58
37739,3,1080,Mulund West,2.48
37746,2,751,Kandivali East,2.05
37747,2,673,Kandivali East,1.85
37748,2,667,Kandivali East,1.84
37752,5,3906,Worli,12.9
37753,2,1048,Malad West,2.48
37757,1,500,Bandra East,1.35
37758,2,1036,Borivali East,2.2
37759,3,1150,Thane West,2.34
37761,2,810,Goregaon East,1.86
37765,2,814,Jogeshwari East,1.71
37769,2,722,Andheri East,2.45
