,bhk,area,region,price_in_cr
2,2,610,Borivali West,1.73
5,2,826,Parel,3.3
9,2,671,other,2.72
13,2,605,Jogeshwari West,1.55
16,1,450,Powai,1.39
17,3,1259,Ghansoli,2.8
19,3,1274,Andheri West,4.2
22,1,320,Chembur,0.6990000000000001
37,2,604,Jogeshwari East,1.44
38,3,1116,Mulund West,2.85
40,3,902,Goregaon West,2.59
45,1,448,Ghatkopar East,1.34
51,2,610,Borivali West,1.73
54,2,826,Parel,3.3
58,2,739,other,2.95
62,2,605,Jogeshwari West,1.55
65,1,450,Powai,1.39
66,3,1259,Ghansoli,2.8
68,3,1274,Andheri West,4.2
71,1,320,Chembur,0.6990000000000001
86,3,1056,Mulund West,2.45
88,3,902,Goregaon West,2.59
92,2,625,Mulund West,1.47
93,2,639,Ghatkopar East,1.91
106,2,610,Borivali West,1.73
107,2,610,Borivali West,1.73
125,3,1133,Parel,4.79
126,3,1133,Parel,4.79
174,2,859,Chembur,2.02
175,2,859,Chembur,2.02
178,1,430,Chembur,1.01
179,1,430,Chembur,1.01
180,2,705,Chembur,1.66
181,2,705,Chembur,1.66
182,1,421,Chembur,0.99
183,1,421,Chembur,0.99
184,2,610,Jogeshwari West,1.56
185,2,610,Jogeshwari West,1.56
197,1,431,Powai,1.35
198,1,431,Powai,1.35
207,2,725,Ghansoli,1.7
208,2,725,Ghansoli,1.7
209,4,1492,Ghansoli,3.4
210,4,1492,Ghansoli,3.4
211,2,715,Ghansoli,1.68
212,2,715,Ghansoli,1.68
213,1,505,Ghansoli,1.08
214,1,505,Ghansoli,1.08
216,2,644,Thane West,1.58
218,2,644,Thane West,1.58
219,2,635,Thane West,1.65
220,1,505,Ghansoli,1.08
221,4,1969,Andheri West,6.89
222,4,1969,Andheri West,6.89
226,2,685,Andheri West,2.26
227,2,685,Andheri West,2.26
228,3,1236,Andheri West,4.08
229,3,1236,Andheri West,4.08
270,1,384,Borivali East,0.9101
271,1,384,Borivali East,0.9101
276,2,618,Borivali East,1.46
277,2,618,Borivali East,1.46
298,1,427,Jogeshwari East,1.02
299,1,380,Jogeshwari East,0.912
326,4,1500,Kandivali East,5.6
345,3,1015,Mulund West,2.45
346,3,1116,Mulund West,2.85
347,3,1116,Mulund West,2.85
348,3,1056,Mulund West,2.45
349,3,1056,Mulund West,2.45
350,3,1015,Mulund West,2.45
351,3,1015,Mulund West,2.45
352,3,1116,Mulund West,2.85
353,3,1056,Mulund West,2.45
354,3,1015,Mulund West,2.45
356,3,1076,Andheri East,3.19
357,3,1076,Andheri East,3.19
358,3,1076,Andheri East,3.19
359,2,718,Andheri East,2.12
360,3,1076,Andheri East,3.19
361,2,758,Andheri East,2.24
362,2,718,Andheri East,2.12
363,3,991,Andheri East,2.94
364,2,758,Andheri East,2.24
365,3,991,Andheri East,2.94
366,2,618,Andheri East,1.82
367,2,618,Andheri East,1.82
368,3,1033,Andheri East,3.06
369,3,1033,Andheri East,3.06
370,3,913,Andheri East,2.7
371,3,913,Andheri East,2.7
376,3,948,Andheri East,2.81
377,3,948,Andheri East,2.81
379,2,668,Mira Road East,1.35
456,2,1233,Malad West,2.75
462,3,1180,Dadar West,4.75
467,3,1525,Borivali West,3.25
472,2,950,Mahim,3.4
474,3,939,Mulund West,2.58
476,3,905,Powai,2.75
477,3,905,Powai,2.75
478,3,905,Powai,2.75
479,3,905,Powai,2.75
480,3,944,Powai,2.86
481,3,944,Powai,2.86
482,2,611,Powai,1.75
483,2,611,Powai,1.75
484,2,615,Powai,1.76
485,2,615,Powai,1.76
500,2,645,Goregaon West,1.92
501,2,645,Goregaon West,1.92
502,3,902,Goregaon West,2.59
503,3,902,Goregaon West,2.59
504,2,645,Goregaon West,1.92
505,2,645,Goregaon West,1.92
522,1,420,Andheri West,1.0
523,1,380,Borivali East,0.88
524,2,764,Borivali East,1.85
535,3,1750,Powai,5.75
553,2,650,Agripada,2.62
562,2,800,Ville Parle East,2.5
570,2,1000,Ville Parle East,2.75
576,3,1300,Borivali East,3.19
582,5,2920,Santacruz West,12.0
595,2,676,Kanjurmarg,1.5
597,1,650,Kanjurmarg,1.34
615,2,790,Bandra West,3.75
621,1,475,Khar,2.75
624,1,600,Santacruz West,2.35
633,3,1800,Andheri West,3.6
645,1,464,Kandivali West,1.25
648,1,500,Sewri,1.3
669,1,650,Andheri West,2.0
670,3,1925,Prabhadevi,9.0
679,3,1300,Matunga,3.99
705,2,900,Kandivali East,1.95
714,4,2000,Santacruz West,12.0
729,3,3300,Lower Parel,12.0
734,2,715,Andheri East,1.65
735,2,715,Andheri East,1.65
736,2,715,Andheri East,1.65
737,2,715,Andheri East,1.65
738,2,715,Andheri East,1.65
739,2,715,Andheri East,1.65
744,2,660,Mulund West,1.6
745,2,850,Andheri East,2.25
772,2,653,Koper Khairane,1.5
773,2,653,Koper Khairane,1.5
774,2,653,Koper Khairane,1.5
786,2,770,Ghatkopar East,1.8
787,2,770,Ghatkopar East,1.8
788,2,770,Ghatkopar East,1.8
789,2,770,Ghatkopar East,1.8
790,2,770,Ghatkopar East,1.8
791,2,770,Ghatkopar East,1.8
792,2,770,Ghatkopar East,1.8
793,2,770,Ghatkopar East,1.8
794,2,770,Ghatkopar East,1.8
795,2,770,Ghatkopar East,1.8
796,2,770,Ghatkopar East,1.8
797,2,770,Ghatkopar East,1.8
798,2,770,Ghatkopar East,1.8
799,2,770,Ghatkopar East,1.8
810,2,771,Kandivali West,1.75
811,2,771,Kandivali West,1.75
812,2,771,Kandivali West,1.75
813,2,771,Kandivali West,1.75
814,2,771,Kandivali West,1.75
815,2,771,Kandivali West,1.75
816,2,771,Kandivali West,1.75
817,2,771,Kandivali West,1.75
818,2,771,Kandivali West,1.75
819,2,771,Kandivali West,1.75
820,2,771,Kandivali West,1.75
821,2,771,Kandivali West,1.75
822,2,771,Kandivali West,1.75
823,2,771,Kandivali West,1.75
824,2,771,Kandivali West,1.75
825,2,771,Kandivali West,1.75
827,3,1925,Prabhadevi,9.0
828,3,1200,Mahim,5.5
829,3,1200,Mahim,5.3
847,3,2250,Napeansea Road,13.0
908,1,310,Powai,0.75
948,2,1150,Santacruz East,2.61
967,1,560,Santacruz West,1.6
1025,2,600,Mulund West,1.42
1026,3,950,Ghatkopar East,2.85
1027,2,633,Ghatkopar East,1.89
1028,2,643,Kandivali West,1.6
1029,2,644,Kandivali West,1.61
1035,2,626,Kandivali East,1.53
1036,2,626,Kandivali East,1.53
1037,2,706,Kandivali East,1.72
1038,1,448,Kandivali East,1.09
1039,2,678,Kandivali East,1.66
1040,3,1380,Ghatkopar East,3.7
1044,1,395,Kandivali East,0.83
1047,4,2500,Bhandup West,5.0
1048,3,1106,Dahisar,2.6
1051,3,1023,Kandivali East,2.6
1052,2,623,Kandivali East,1.83
1053,3,1046,Kandivali East,3.08
1054,2,1020,Powai,2.3
1060,1,418,Kandivali West,1.04
1061,2,611,Borivali West,1.77
1064,2,636,Borivali West,1.75
1072,3,1213,Thane West,2.54
1095,2,1283,Wadala,2.6
1128,3,1545,Powai,3.15
1132,3,1040,Kandivali East,2.15
1157,2,618,Thane West,1.48
1159,3,981,Thane West,2.35
1160,1,650,other,2.25
1183,2,646,Thane West,1.49
1184,2,712,Thane West,1.46
1185,2,712,Thane West,1.46
1235,1,443,Girgaon,1.35
1244,2,680,Thane West,1.65
1251,2,830,Kanjurmarg,2.42
1258,3,1093,Byculla,3.3
1259,3,1320,Chembur,3.35
1264,3,1600,Powai,4.25
1265,3,1600,Powai,4.75
1266,3,1650,Powai,4.5
1298,2,890,Kandivali East,2.1
1299,2,890,Kandivali East,2.1
1300,2,890,Kandivali East,2.1
1301,2,890,Kandivali East,2.1
1304,3,1650,Thane West,3.9
1306,2,750,Malad West,1.7
1307,2,800,Malad West,1.85
1309,1,500,Lower Parel,1.4
1313,3,1400,Girgaon,7.5
1314,3,2000,Tardeo,8.0
1315,3,1575,Tardeo,9.5
1317,2,830,Kanjurmarg,2.42
1318,3,1315,Wadala,2.8
1319,3,1255,Wadala,2.75
1320,3,1315,Wadala,3.1
1322,1,575,Parel,1.15
1323,2,1350,Wadala,2.85
1327,2,830,Kanjurmarg,2.42
1331,1,500,Lower Parel,1.44
1333,2,1026,Lower Parel,4.25
1339,2,800,Bhandup West,1.85
1342,1,401,Kanjurmarg,1.19
1343,1,401,Kanjurmarg,1.19
1419,2,1050,Ghatkopar East,2.1
1421,2,1055,Ghatkopar East,2.11
1424,1,600,Colaba,1.85
1429,2,1350,Andheri West,3.5
1430,2,850,Malad West,1.75
1431,1,400,Colaba,1.6
1447,1,400,Bhandup West,0.99
1448,2,600,Bhandup West,1.48
1449,1,400,Bhandup West,0.99
1450,2,600,Bhandup West,1.48
1451,2,673,Andheri West,2.19
1452,2,673,Andheri West,2.19
1453,3,1060,Andheri West,3.2
1454,3,1060,Andheri West,3.2
1455,1,415,Andheri West,1.19
1456,1,415,Andheri West,1.19
1457,3,901,Andheri East,2.89
1458,3,901,Andheri East,2.89
1459,3,1011,Andheri East,3.19
1460,3,1011,Andheri East,3.19
1461,3,910,Andheri East,2.9
1462,3,910,Andheri East,2.9
1463,2,776,Andheri East,2.21
1464,2,776,Andheri East,2.21
1494,4,2600,Wadala,7.9
1508,2,966,Tardeo,5.0
1509,3,1679,Tardeo,10.0
1512,2,721,Chembur,1.62
1513,2,721,Chembur,1.62
1514,2,645,Chembur,1.45
1515,2,645,Chembur,1.45
1516,2,668,Chembur,1.5
1517,2,668,Chembur,1.5
1553,4,1593,Panvel,3.23
1556,4,1593,Panvel,3.23
1564,3,993,Panvel,2.1
1565,3,993,Panvel,2.1
1568,3,1013,Panvel,2.15
1569,3,1013,Panvel,2.15
1570,4,1605,Panvel,3.23
1571,4,1605,Panvel,3.23
1572,3,1850,Goregaon East,4.25
1577,3,993,Panvel,2.1
1578,3,993,Panvel,2.1
1581,3,1013,Panvel,2.15
1582,3,1013,Panvel,2.15
1583,4,1605,Panvel,3.23
1584,4,1605,Panvel,3.23
1585,3,1850,Goregaon East,4.25
1587,3,1950,Andheri West,4.6
1613,1,335,Malad East,0.68
1614,1,335,Malad East,0.68
1617,1,385,Malad East,0.8
1618,1,385,Malad East,0.8
1619,1,415,Malad East,0.87
1620,1,415,Malad East,0.87
1637,2,1000,Malad East,2.37
1638,2,1000,Malad East,2.37
1645,1,500,Lower Parel,1.41
1673,2,638,Bhandup West,1.41
1675,1,431,Bhandup West,0.982
1684,3,949,Airoli,2.5
1685,3,949,Airoli,2.5
1686,2,695,Airoli,1.9
1687,2,695,Airoli,1.9
1688,3,949,Airoli,2.5
1689,3,949,Airoli,2.5
1690,2,695,Airoli,1.9
1691,2,695,Airoli,1.9
1705,5,3000,Lower Parel,12.0
1711,1,465,Kanjurmarg,1.37
1712,1,465,Kanjurmarg,1.37
1713,1,368,Kanjurmarg,1.08
1714,1,368,Kanjurmarg,1.08
1732,3,1340,Kandivali East,2.7
1734,4,1900,Kandivali East,4.5
1917,1,493,Borivali West,1.16
1918,2,630,Andheri East,1.67
1919,1,350,Malad West,0.85
1920,2,630,Andheri East,1.67
1923,2,653,Goregaon West,1.47
1955,2,637,Thane West,1.4
1956,2,637,Thane West,1.4
1957,2,603,Thane West,1.33
1958,2,603,Thane West,1.33
1959,2,637,Thane West,1.4
1960,2,637,Thane West,1.4
1961,2,603,Thane West,1.33
1962,2,603,Thane West,1.33
1963,2,625,Thane West,1.38
1964,2,625,Thane West,1.38
1965,2,601,Thane West,1.32
1966,2,601,Thane West,1.32
1969,2,601,Thane West,1.32
1970,2,601,Thane West,1.32
1975,2,637,Thane West,1.4
1976,2,637,Thane West,1.4
1977,2,603,Thane West,1.33
1978,2,603,Thane West,1.33
1979,2,637,Thane West,1.4
1980,2,637,Thane West,1.4
1981,2,603,Thane West,1.33
1982,2,603,Thane West,1.33
1983,2,625,Thane West,1.38
1984,2,625,Thane West,1.38
1985,2,601,Thane West,1.32
1986,2,601,Thane West,1.32
1989,2,601,Thane West,1.32
1990,2,601,Thane West,1.32
1991,2,600,Thane West,1.32
1992,2,600,Thane West,1.32
2013,2,630,Thane West,1.48
2014,2,630,Thane West,1.48
2094,1,313,Thane West,0.7299
2095,1,313,Thane West,0.7299
2098,1,313,Thane West,0.7299
2099,1,313,Thane West,0.7299
2100,3,1091,Thane West,3.5
2101,3,1091,Thane West,3.5
2102,3,1091,Thane West,3.5
2103,3,1091,Thane West,3.5
2122,2,611,Borivali West,1.9
2124,2,710,Borivali West,2.03
2168,3,1250,Koper Khairane,2.5
2170,1,465,Bhandup West,0.97
2171,2,630,Bhandup West,1.3
2172,2,950,Ghatkopar East,2.63
2176,1,575,Kandivali East,1.2
2178,2,750,Mulund West,1.55
2179,2,650,Mulund West,1.35
2181,4,1550,Thane West,3.2
2189,3,1600,Thane West,3.5
2213,3,1250,Thane West,3.1
2220,2,623,Bhandup West,1.28
2221,1,481,Bhandup West,0.98
2236,3,1200,Borivali East,3.0
2237,5,2400,Jogeshwari East,8.1
2376,2,641,Borivali West,1.6
2744,3,1350,Andheri East,2.85
2745,2,1250,Andheri East,2.55
2835,3,1700,Thane West,3.4
2951,4,2500,Deonar,7.67
3025,3,1400,Thane West,4.0
3038,9,5500,Deonar,23.13
3072,2,850,Mulund West,1.83
3074,2,828,Nahur East,1.7
3076,3,950,Thane West,1.9
3212,4,1590,Ghatkopar East,3.92
3213,4,2896,Ghatkopar East,8.9
3320,1,629,Santacruz West,1.45
3407,3,1500,Thane West,3.0
3409,4,2700,Thane West,6.25
3457,4,3000,Thane West,6.25
3473,2,1000,Kandivali East,2.3
3553,2,680,Ghansoli,1.65
3571,3,1400,Thane West,2.8
3574,2,1165,Powai,3.15
3575,2,967,Goregaon West,2.0
3577,3,1552,Goregaon West,3.22
3578,1,663,Mahim,1.91
3579,1,690,Andheri East,1.42
3580,2,933,Andheri East,1.95
3581,2,1080,Andheri East,2.22
3586,1,583,Andheri West,1.3
3587,3,1164,Andheri West,2.6
3588,1,645,Andheri West,1.44
3589,2,1096,Andheri East,2.55
3590,3,1659,Andheri East,3.95
3591,4,2520,Andheri East,6.0
3592,2,858,Andheri West,2.0
3593,3,1645,Andheri West,5.0
3594,2,1015,Andheri West,2.6
3595,3,1523,Andheri West,3.61
3596,1,595,Andheri West,1.24
3597,3,1271,Andheri West,2.55
3598,2,814,Andheri West,1.75
3612,4,2421,Powai,5.4
3616,2,982,Andheri East,1.99
3617,2,975,Powai,2.04
3620,1,568,Powai,1.3
3621,2,1156,Powai,3.1
3626,2,978,Mahim,2.7
3627,2,1357,Dadar West,4.9
3628,3,1659,Dadar West,6.0
3629,1,544,Lower Parel,1.45
3639,2,1138,Andheri East,2.3
3640,3,1813,Andheri East,3.7
3653,4,2100,Santacruz West,6.7
3654,4,1792,Andheri West,3.6
3655,1,533,Andheri West,1.35
3656,2,616,Andheri West,1.65
3657,1,560,Andheri West,1.27
3658,3,1134,Andheri West,2.55
3666,3,1807,Powai,3.95
3698,5,2500,Nerul,5.0
3710,1,750,Vikhroli,1.85
3741,2,1026,Lower Parel,4.25
3754,3,2550,Tardeo,13.0
3774,5,2500,Ghansoli,6.0
3785,2,1000,Powai,2.9
3850,3,1475,Seawoods,3.05
3961,4,1955,Worli,10.0
3963,2,720,Kandivali East,1.45
4010,4,2000,Vikhroli,9.5
4011,4,1300,Vikhroli,5.5
4023,5,3000,Deonar,11.2
4024,3,1900,Deonar,6.5
4195,3,1500,Thane West,3.5
4219,3,1190,Chembur,2.95
4240,2,814,Ghatkopar East,1.8
4268,2,1020,Lower Parel,2.7
4278,2,608,Vikhroli,1.55
4289,1,300,Mazagaon,0.72
4325,2,680,other,1.5
4377,2,900,Ghansoli,1.8
4440,2,750,Thane West,1.6
4456,2,990,Vikhroli,2.7
4458,2,800,Mulund West,1.6
4462,3,1319,Vikhroli,5.32
4466,1,750,Vikhroli,1.95
4467,3,1485,Mulund West,3.0
4473,1,488,Powai,1.44
4475,3,1146,Andheri East,2.67
4476,1,580,Andheri East,1.35
4477,2,789,Andheri East,2.08
4539,3,1330,Andheri West,5.2
4558,3,1330,Andheri West,5.2
4595,3,1500,Andheri West,4.75
4596,2,710,Andheri West,1.85
4598,2,850,Andheri West,2.75
4600,3,1500,Andheri West,4.75
4601,2,710,Andheri West,1.85
4606,1,650,Andheri East,1.35
4637,3,2363,Seawoods,4.8
4658,2,1000,Lower Parel,2.7
4691,3,1644,Belapur,3.7
4698,3,1770,Seawoods,4.3
4743,2,1105,Malad West,2.9
4745,3,1106,Dahisar,2.65
4783,4,3155,Seawoods,8.25
4829,2,680,Andheri West,2.47
4830,3,900,Andheri East,2.46
4831,1,480,Jogeshwari East,1.0
4832,2,630,Jogeshwari East,1.34
4833,2,900,Andheri East,2.2
4834,2,1100,Andheri East,2.2
4836,3,1100,Powai,3.45
4837,2,680,Powai,2.19
4838,2,790,Andheri East,2.15
4839,2,670,Jogeshwari East,1.5
4840,1,450,Jogeshwari East,0.95
4842,1,460,Andheri East,1.06
4843,2,640,Andheri East,1.91
4844,1,500,Andheri East,1.3
4845,2,600,Goregaon East,1.4
4846,1,400,Goregaon East,0.85
4851,3,1250,Chembur,3.46
4859,2,680,Andheri West,1.95
4863,3,1750,Goregaon East,6.0
4864,3,1825,Malad West,5.5
4866,2,837,Bandra East,2.65
4893,2,950,Chembur,2.61
4914,2,900,Borivali West,2.1
4958,1,500,Chembur,1.0
4965,2,1105,Malad West,3.03
4970,3,1120,Andheri West,4.25
4972,2,1200,Andheri West,2.5
4973,2,875,Andheri West,2.3
4974,2,1200,Andheri West,2.45
4977,2,1200,Andheri West,4.75
4978,2,800,Andheri West,2.5
4980,3,1120,Andheri West,4.25
4981,2,800,Andheri West,2.5
4982,3,1020,Powai,3.56
4983,2,680,Powai,2.35
5000,3,1750,Seawoods,4.0
5026,3,1300,Borivali East,3.0
5028,1,685,Andheri East,1.42
5039,2,600,Andheri East,1.41
5042,2,800,Jogeshwari West,2.6
5043,3,1100,Jogeshwari West,3.7
5048,4,1200,Goregaon West,3.45
5049,2,900,Goregaon West,2.75
5060,2,1110,Thane West,2.35
5070,2,800,Mulund West,1.65
5088,3,920,Andheri East,2.45
5089,2,700,Andheri East,1.8
5090,1,430,Andheri East,1.2
5092,2,700,Andheri East,2.2
5093,2,689,Andheri East,1.45
5113,3,1815,Nerul,4.1
5142,2,651,Borivali West,1.95
5144,3,904,Borivali West,3.0
5147,2,763,Kandivali East,2.5
5148,2,650,Goregaon East,1.38
5149,2,675,Andheri East,1.45
5152,2,955,Byculla,4.5
5153,2,2000,Lower Parel,6.75
5154,4,1679,Tardeo,10.0
5158,1,591,Chembur,1.3
5161,3,1150,Mulund West,2.45
5206,1,400,Andheri East,1.19
5210,4,2475,Seawoods,6.0
5239,3,1500,Mulund West,3.1
5240,3,1500,Mulund West,3.1
5255,2,789,Andheri East,2.05
5297,3,1300,Juinagar,2.9
5305,3,1350,Powai,3.09
5307,3,1360,Powai,3.45
5328,3,1505,Bandra West,5.55
5329,2,950,Santacruz West,4.0
5379,4,2000,Mahalaxmi,10.5
5396,3,2200,Bandra West,6.6
5412,2,680,Andheri East,2.04
5451,1,500,Kanjurmarg,1.25
5460,3,1400,Kandivali East,3.45
5463,3,1281,Ghatkopar West,3.6
5464,2,1043,Ghatkopar West,2.4
5465,3,1860,Ghatkopar West,4.71
5470,2,675,Ghatkopar East,1.48
5472,1,430,Ghatkopar East,0.946
5473,1,425,Ghatkopar East,0.9349
5479,3,1500,Bandra West,7.0
5498,1,650,Andheri East,1.32
5499,2,785,Andheri East,2.1
5508,2,890,Goregaon West,2.75
5509,3,1100,Andheri East,2.6
5510,2,800,Andheri East,1.9
5512,2,1050,Andheri East,2.1
5513,3,1800,Powai,4.1
5514,2,1050,Dadar East,2.15
5515,3,1600,Andheri East,3.2
5516,3,1300,Powai,3.0
5517,1,380,Powai,1.09
5519,1,600,Andheri East,1.25
5522,2,700,Andheri East,1.5
5523,2,800,Powai,1.8
5528,1,350,Bandra West,0.98
5529,1,750,Sion,1.6
5580,2,950,Santacruz East,4.0
5642,3,1800,Nerul,4.1
6431,3,1400,Thane West,2.8
6453,3,1631,Seawoods,3.57
6480,3,1315,Wadala,3.6
6481,3,1400,Santacruz West,6.11
6483,3,1390,Thane West,3.3
6543,2,850,Kandivali East,2.15
6544,2,1050,Kandivali East,2.35
6545,3,1287,Borivali East,4.2
6546,2,1050,Kandivali East,2.42
6552,3,1630,Seawoods,3.57
6553,2,1000,Wadala,2.09
6555,2,625,Andheri East,1.53
6558,1,400,Bhandup West,0.99
6559,1,400,Bhandup West,0.99
6560,2,600,Bhandup West,1.48
6561,2,600,Bhandup West,1.48
6584,2,1100,Andheri West,3.3
6588,2,960,Borivali West,1.95
6601,1,599,Vikhroli,1.2
6624,1,600,Lower Parel,1.8
6646,3,1300,Chembur,2.75
6658,2,1300,Kandivali East,2.6
6703,4,1960,Byculla,8.85
6704,3,1111,Byculla,4.96
6706,4,1603,Byculla,7.26
6708,3,1425,Thane West,2.85
6723,2,850,Bandra East,2.2
6754,2,1350,Wadala,2.93
6812,3,1950,Thane West,4.0
6815,2,1283,Wadala,2.6
6855,3,1315,Wadala,2.65
6857,2,850,Lower Parel,3.25
6858,3,1750,Tardeo,11.0
6916,1,600,Mulund East,1.22
6931,1,550,Borivali East,1.1
6972,4,1650,Parel,7.0
6987,2,965,Wadala,1.93
7000,2,1000,Wadala,3.67
7001,2,925,Wadala,2.75
7003,2,1377,Wadala,2.8
7004,2,1377,Wadala,2.85
7005,3,1701,Wadala,4.0
7006,3,1701,Wadala,4.0
7008,3,1086,Wadala,3.6
7009,3,1701,Wadala,3.9
7010,3,1701,Wadala,4.0
7011,3,1701,Wadala,3.94
7013,1,637,Wadala,1.7
7015,3,1701,Wadala,3.85
7017,1,730,Wadala,1.57
7018,3,1330,Wadala,3.95
7019,3,1086,Wadala,3.3
7020,2,955,Wadala,2.7
7078,2,1250,Girgaon,3.0
7082,4,3285,Wadala,7.85
7103,2,1377,Wadala,2.79
7105,2,970,Wadala,2.7
7106,2,925,Wadala,3.0
7107,3,2000,Wadala,5.0
7108,1,637,Wadala,1.6
7109,3,1701,Wadala,4.0
7111,2,977,Wadala,2.69
7112,3,1701,Wadala,3.85
7114,3,1701,Wadala,3.85
7115,3,1701,Wadala,4.1
7117,2,1337,Wadala,2.73
7119,4,2005,Wadala,6.7
7120,2,925,Wadala,2.8
7121,1,637,Wadala,1.7
7122,3,1701,Wadala,3.75
7124,2,1337,Wadala,2.73
7126,4,2005,Wadala,6.7
7127,2,925,Wadala,2.8
7128,1,637,Wadala,1.7
7129,3,1701,Wadala,3.75
7130,2,1377,Wadala,3.0
7131,3,1701,Wadala,4.0
7133,2,1377,Wadala,2.85
7134,2,1377,Wadala,2.8
7135,3,1701,Wadala,3.8
7136,2,1377,Wadala,3.0
7138,3,1701,Wadala,3.5
7139,3,1701,Wadala,3.5
7140,3,1701,Wadala,4.7
7141,2,1137,Wadala,2.7
7142,3,1330,Wadala,3.85
7144,3,1701,Wadala,4.06
7145,2,925,Wadala,2.65
7146,3,1701,Wadala,3.96
7184,2,750,Wadala,1.6
7190,2,1300,Wadala,2.97
7191,2,1137,Wadala,3.3
7207,3,1300,Chembur,2.75
7220,2,690,Girgaon,4.14
7235,1,637,Wadala,1.72
7242,3,1500,Thane West,3.0
7248,1,368,Parel,1.27
7249,1,374,Parel,1.38
7264,2,850,Kanjurmarg,2.15
7270,3,1500,Lower Parel,7.39
7284,3,1701,Wadala,3.86
7285,2,1377,Wadala,2.81
7286,3,1701,Wadala,4.15
7287,3,1330,Wadala,3.9
7289,2,1377,Wadala,3.0
7290,3,1701,Wadala,4.87
7291,3,1701,Wadala,3.95
7292,3,1701,Wadala,3.96
7293,2,1377,Wadala,2.98
7294,3,1701,Wadala,4.01
7295,3,1701,Wadala,3.97
7296,3,1701,Wadala,3.97
7299,3,1650,Wadala,5.2
7330,1,510,Kanjurmarg,1.2
7332,1,500,Kanjurmarg,1.15
7333,2,951,Kanjurmarg,2.15
7334,1,510,Kanjurmarg,1.15
7336,3,900,Kanjurmarg,2.0
7337,3,1300,Kanjurmarg,2.9
7339,3,1200,Kanjurmarg,3.25
7341,2,700,Kanjurmarg,1.68
7342,3,950,Kanjurmarg,1.95
7343,2,800,Kanjurmarg,2.0
7344,2,951,Kanjurmarg,2.0
7345,2,994,Kanjurmarg,2.1
7346,1,450,Vikhroli,0.95
7349,1,410,Vikhroli,0.92
7350,2,730,Kanjurmarg,1.7
7351,1,500,Vikhroli,1.05
7352,3,1300,Kanjurmarg,2.75
7356,2,887,Andheri East,2.0
7361,3,1416,Seawoods,3.73
7362,3,1416,Seawoods,3.71
7363,2,1175,Seawoods,2.45
7418,2,820,Chembur,1.8
7432,2,1015,Wadala,2.47
7436,3,1300,Vashi,3.6
7496,2,954,Andheri West,2.1
7550,1,550,Byculla,1.29
7556,3,960,Kandivali East,2.48
7557,2,698,Kandivali East,1.71
7558,3,1002,Kandivali East,2.55
7559,2,719,Kandivali East,1.77
7560,3,1121,Kandivali East,2.87
7561,4,1540,Kandivali East,3.87
7562,2,764,Kandivali East,1.97
7565,3,1550,Thane West,3.5
7569,1,550,Thane West,1.1
7576,3,1450,Thane West,3.0
7591,2,850,Santacruz West,3.67
7592,1,530,Andheri West,1.39
7597,3,1701,Wadala,3.85
7615,1,520,Malad East,1.37
7616,2,650,Goregaon East,1.35
7640,3,1195,Wadala,2.7
7642,2,900,Seawoods,1.9
7648,3,1500,Kandivali West,3.1
7654,2,1000,Andheri West,2.51
7655,2,970,Andheri West,2.5
7657,3,1500,Dadar East,7.19
7679,2,950,Lower Parel,3.85
7683,2,730,Malad East,1.65
7684,3,1074,Malad East,2.45
7690,1,405,other,0.9
7781,4,2695,Wadala,7.75
7782,2,1260,Wadala,3.2
7783,3,2371,Mahim,7.04
7784,2,650,Kanjurmarg,1.43
7790,3,1230,Andheri West,4.5
7792,4,1260,Wadala,3.4
7793,3,1315,Wadala,2.8
7800,3,1500,Thane West,3.5
7803,4,2750,Thane West,6.0
7807,3,1500,Thane West,3.25
7818,3,1400,Thane West,3.25
7828,3,1675,Thane West,3.5
7854,2,900,Tardeo,3.6
7861,3,2340,Wadala,5.5
7864,3,1195,Wadala,2.55
7866,2,795,Wadala,1.72
7867,1,575,Wadala,1.18
7871,3,942,Kandivali East,2.59
7897,3,900,Kanjurmarg,1.85
7898,2,650,Kanjurmarg,1.45
7899,2,700,other,1.6
7960,2,635,Goregaon East,1.5
7965,3,2560,Lower Parel,9.5
7966,4,3200,Worli,14.0
8001,3,1300,Agripada,7.5
8023,2,1200,Seawoods,2.5
8035,2,922,Sanpada,1.85
8107,2,650,Kandivali East,1.3
8134,8,3285,Wadala,8.5
8163,3,1450,Wadala,3.99
8170,2,635,Kharghar,1.4
8171,2,635,Kharghar,1.4
8181,1,575,Wadala,1.25
8183,3,1315,Wadala,3.1
8184,3,2340,Wadala,6.0
8226,2,1050,Airoli,2.35
8247,3,1315,Wadala,2.72
8248,2,1350,Wadala,3.2
8250,3,1315,Wadala,2.86
8252,2,700,Andheri East,2.6
8282,3,1315,Wadala,3.15
8283,2,1350,Wadala,3.2
8300,2,690,Ghatkopar East,1.4
8312,3,1300,Chembur,2.75
8338,2,1260,Wadala,3.26
8339,2,1315,Wadala,3.25
8340,3,1320,Wadala,3.0
8342,3,1350,Wadala,2.95
8343,3,1315,Wadala,2.75
8344,2,1260,Wadala,3.25
8345,3,2340,Wadala,5.75
8347,3,2340,Wadala,5.15
8348,2,1180,Wadala,2.9
8356,2,900,Mahalaxmi,4.1
8359,2,1405,Lower Parel,5.9
8373,3,1475,Andheri West,3.6
8374,1,420,Goregaon East,0.85
8375,2,900,Goregaon West,2.3
8377,3,1110,Andheri West,2.37
